Port Name,State,Port Code,Border,Date,Measure,Value,Latitude,Longitude,Point
Laredo,Texas,2304,US-Mexico Border,Jul 2017,Trains,378,27.500,-99.507,POINT (-99.507412 27.499561)
Port Angeles,Washington,3007,US-Canada Border,Jan 2019,Buses,1,48.122,-123.431,POINT (-123.430694 48.121858)
Jackman,Maine,0104,US-Canada Border,Nov 2019,Trucks,5785,45.806,-70.397,POINT (-70.396722 45.805661)
Rio Grande City,Texas,2307,US-Mexico Border,Feb 2018,Truck Containers Empty,732,26.366,-98.803,POINT (-98.802513 26.365761)
Eagle Pass,Texas,2303,US-Mexico Border,Feb 2020,Pedestrians,59572,28.705,-100.512,POINT (-100.511977 28.705483)
Champlain Rouses Point,New York,0712,US-Canada Border,Jan 2019,Trains,71,45.009,-73.453,POINT (-73.4526634854 45.0088325953)
Scobey,Montana,3309,US-Canada Border,Mar 2020,Personal Vehicles,185,49.000,-105.408,POINT (-105.407638 48.999527)
Detroit,Michigan,3801,US-Canada Border,Feb 2018,Personal Vehicle Passengers,436157,42.332,-83.048,POINT (-83.047924 42.331685)
Blaine,Washington,3004,US-Canada Border,Jul 2019,Trucks,33518,48.994,-122.749,POINT (-122.748884 48.994045)
Vanceboro,Maine,0105,US-Canada Border,Aug 2017,Trucks,43,45.569,-67.429,POINT (-67.428541 45.568761)
Van Buren,Maine,0108,US-Canada Border,Aug 2018,Rail Containers Loaded,326,47.160,-67.931,POINT (-67.930799 47.159645)
Portal,North Dakota,3403,US-Canada Border,Jan 2018,Pedestrians,206,48.999,-102.552,POINT (-102.551944 48.998944)
Danville,Washington,3012,US-Canada Border,Feb 2020,Truck Containers Empty,37,49.000,-118.504,POINT (-118.503722 49.000083)
Nogales,Arizona,2604,US-Mexico Border,Mar 2018,Pedestrians,335638,31.333,-110.943,POINT (-110.942516 31.332839)
Roma,Texas,2310,US-Mexico Border,Aug 2018,Pedestrians,18606,26.404,-99.019,POINT (-99.018981 26.403928)
Portland,Maine,0101,US-Canada Border,Sep 2017,Bus Passengers,147,43.659,-70.243,POINT (-70.243056 43.659444)
Richford,Vermont,0203,US-Canada Border,Apr 2020,Rail Containers Empty,19,45.012,-72.589,POINT (-72.588559 45.01174)
Willow Creek,Montana,3325,US-Canada Border,Aug 2019,Personal Vehicle Passengers,730,49.000,-109.731,POINT (-109.731333 48.999972)
Neche,North Dakota,3404,US-Canada Border,Jun 2017,Trucks,514,49.001,-97.557,POINT (-97.557333 49.000527)
Del Rio,Texas,2302,US-Mexico Border,Mar 2020,Truck Containers Loaded,4097,29.327,-100.928,POINT (-100.927612 29.326784)
Trout River,New York,0715,US-Canada Border,Sep 2017,Trucks,1539,44.992,-74.308,POINT (-74.308172 44.992058)
Van Buren,Maine,0108,US-Canada Border,Dec 2019,Train Passengers,66,47.160,-67.931,POINT (-67.930799 47.159645)
Point Roberts,Washington,3017,US-Canada Border,Oct 2017,Personal Vehicle Passengers,100888,49.002,-123.068,POINT (-123.068055556 49.0020555547)
Hidalgo,Texas,2305,US-Mexico Border,Jan 2019,Pedestrians,166078,26.095,-98.271,POINT (-98.271092 26.095032)
Boquillas,Texas,2410,US-Mexico Border,Jan 2019,Pedestrians,144,29.190,-102.947,POINT (-102.946705 29.190074)
Point Roberts,Washington,3017,US-Canada Border,Jun 2018,Bus Passengers,438,49.002,-123.068,POINT (-123.068055556 49.0020555547)
Westhope,North Dakota,3419,US-Canada Border,Aug 2017,Personal Vehicle Passengers,2231,49.000,-101.017,POINT (-101.017277 48.999611)
Highgate Springs,Vermont,0212,US-Canada Border,Aug 2017,Buses,324,45.015,-73.085,POINT (-73.085037 45.015414)
Sault Sainte Marie,Michigan,3803,US-Canada Border,Nov 2019,Trucks,3162,46.509,-84.361,POINT (-84.360833 46.508611)
Madawaska,Maine,0109,US-Canada Border,Jun 2020,Pedestrians,52,47.360,-68.329,POINT (-68.328684 47.360052)
St John,North Dakota,3405,US-Canada Border,Feb 2019,Personal Vehicles,681,48.999,-99.659,POINT (-99.659111 48.999277)
